D’où	ABR	D’où
venons-nous	NOM	venons-nous
?	SENT	?
Qui	PRO:REL	qui
fut	VER:simp	être
le	DET:ART	le
premier	NOM	premier
représentant	VER:ppre	représenter
de	PRP	de
l’humanité	NOM	l’humanité
?	SENT	?
Pourquoi	ADV	pourquoi
les	DET:ART	le
autres	ADJ	autre
membres	NOM	membre
du	PRP:det	du
genre	NOM	genre
Homo	NAM	Homo
ont	VER:pres	avoir
-ils	PRO:PER	il
disparu	VER:pper	disparaître
?	SENT	?
Qu’avons-nous	NOM	Qu’avons-nous
de	PRP	de
si	ADV	si
spécial	ADJ	spécial
pour	PRP	pour
avoir	VER:infi	avoir
ainsi	ADV	ainsi
conquis	VER:pper	conquérir
chaque	PRO:IND	chaque
parcelle	NOM	parcelle
de	PRP	de
cette	PRO:DEM	ce
planète	NOM	planète
perdue	VER:pper	perdre
dans	PRP	dans
la	DET:ART	le
Voie	NOM	voie
lactée	ADJ	lacté
?	SENT	?
A	PRP	à
ces	PRO:DEM	ce
questions	NOM	question
,	PUN	,
mythologies	NOM	mythologie
et	KON	et
religions	NOM	religion
apportent	VER:pres	apporter
des	PRP:det	du
réponses	NOM	réponse
toutes	PRO:IND	tout
faites	VER:pres	faire
.	SENT	.
Celles	PRO:DEM	celui
accumulées	VER:pper	accumuler
par	PRP	par
la	DET:ART	le
science	NOM	science
sont	VER:pres	être
bien	ADV	bien
plus	ADV	plus
frustrantes	ADJ	frustrant
,	PUN	,
parcellaires	ADJ	parcellaire
,	PUN	,
ouvrant	VER:ppre	ouvrer|ouvrir
sur	PRP	sur
d’autres	ADJ	d’autres
interrogations	NOM	interrogation
,	PUN	,
notre	DET:POS	notre
passé	NOM	passé
se	PRO:PER	se
dérobant	VER:ppre	dérober
toujours	ADV	toujours
derrière	PRP	derrière
un	DET:ART	un
horizon	NOM	horizon
fuyant	ADJ	fuyant
.	SENT	.
La	DET:ART	le
discussion	NOM	discussion
organisée	VER:pper	organiser
par	PRP	par
Sylvestre	NAM	Sylvestre
Huet	NAM	Huet
pour	KON	pour
l’explorer	VER:infi	l’explorer
n’en	NOM	n’en
est	VER:pres	être
pas	ADV	pas
moins	ADV	moins
passionnante	ADJ	passionnant
.	SENT	.
Le	DET:ART	le
journaliste	NOM	journaliste
(	PUN	(
dont	PRO:REL	dont
le	DET:ART	le
blog	NOM	blog
{	ADJ	{
Sciences2	ADJ	Sciences2
}	NOM	}
est	VER:pres	être
hébergé	VER:pper	héberger
sur	PRP	sur
le	DET:ART	le
site	NOM	site
du	PRP:det	du
dns-remplacé	NOM	dns-remplacé
<repdns text="Monde.fr" />
)	PUN	)
a	VER:pres	avoir
convié	VER:pper	convier
deux	NUM	deux
paléoanthropologues	NOM	paléoanthropologues
,	PUN	,
José	NAM	José
Braga	NAM	Braga
et	KON	et
Bruno	NAM	Bruno
Maureille	NAM	Maureille
,	PUN	,
une	DET:ART	un
philosophe	NOM	philosophe
et	KON	et
historienne	NOM	historien
des	PRP:det	du
sciences	NOM	science
,	PUN	,
Claudine	NAM	Claudine
Cohen	NAM	Cohen
,	PUN	,
et	KON	et
un	DET:ART	un
préhistorien	NOM	préhistorien
,	PUN	,
Nicolas	NAM	Nicolas
Teyssandier	NAM	Teyssandier
,	PUN	,
...	PUN	...
